"","variant","suggested","minimum","views","price_type","n","sales","net_revenue","price_mean","price_sd","price_max","price_med","price_mean_nonzero","sales_nonzero_price","proportion_sales_nonzero_price","proportion_sales_minimum_price","ctr","conversion_rate","geomean_70_30","geomean_50_50"
"1",1,"19",19,221,"Fixed Price",809,11,195.8,19,0,19,19,19,11,1,1,0.273176761433869,0.0497737556561086,26.0926798634165,46.4090508414038
"2",2,"29",29,258,"Fixed Price",809,14,382.2,29,0,29,29,29,14,1,1,0.318912237330037,0.0542635658914729,37.7552047465674,73.1491626746335
"3",3,"19",0,229,"PWYW",809,48,381.98,8.551875,8.2379388705614,30,8.5,12.8278125,32,0.666666666666667,0.333333333333333,0.283065512978986,0.209606986899563,89.4295516565122,135.40694221494
"4",4,"29",0,227,"PWYW",809,32,252.45,8.4684375,10.5923256179164,35,5,13.5495,20,0.625,0.375,0.280593325092707,0.140969162995595,59.464476149676,89.8799198931552
"5",5,"19",10,210,"PWYW",809,21,236.05,12.0952380952381,3.85881797840688,20,10,12.0952380952381,21,1,0.714285714285714,0.259579728059332,0.1,43.3965003389706,70.4063207389791
"6",6,"29",10,268,"PWYW",809,16,186.95,12.5625,4.44175265707881,25,10,12.5625,16,1,0.625,0.331273176761434,0.0597014925373134,33.4504241293061,54.6918641115843
"7",7,"29",20,242,"PWYW",812,21,434.6,22.047619047619,5.03464189864771,40,20,22.047619047619,21,1,0.761904761904762,0.298029556650246,0.0867768595041322,52.1171217262328,95.5332402883939
